FID,id,ORIG_FID,X_Coord_Ea,Y_Coord_No
0,2,0,466039.584520999982487,3957386.126310000196099
1,2,0,466051.263995999994222,3957319.264680000022054
2,2,0,466081.602669999992941,3957270.837470000144094
3,3,1,466303.822742999996990,3957667.184609999880195
4,3,1,466330.906449000001885,3957637.472860000096262
5,3,1,466346.728752999973949,3957630.594930000137538
6,4,2,451269.552441000007093,3944494.896579999942333
7,4,2,451389.416457000013907,3944481.889340000227094
8,4,2,451389.732030000013765,3944481.855099999811500
9,4,2,451396.310143999988213,3944481.141259999945760
10,4,2,451396.473273999989033,3944481.123560000211000
11,4,2,451399.612093999981880,3944480.782939999829978
12,4,2,451399.655838000006042,3944480.778200000058860
13,4,2,451409.313861000002362,3944479.730140000116080
14,4,2,451409.346036000002641,3944479.726650000084192
15,4,2,451429.036222999973688,3944477.589939999859780
16,4,2,451660.718047000002116,3944469.632999999914318
17,5,3,451183.071855999995023,3944556.849119999911636
18,5,3,451257.494069000007585,3944557.547090000007302
19,5,3,451257.525846000004094,3944557.547389999963343
20,5,3,451265.004566000017803,3944557.617529999930412
21,5,3,451300.940010000020266,3944564.866200000047684
22,5,3,451300.971544999978505,3944564.872560000047088
23,5,3,451373.264441000006627,3944579.455020000226796
24,5,3,451373.307061000028625,3944579.463609999977052
25,5,3,451375.306219000020064,3944579.866870000027120
26,5,3,451375.347573000006378,3944579.875210000202060
27,5,3,451387.716553999984171,3944582.370199999772012
28,5,3,451387.804753999982495,3944582.387990000192076
29,5,3,451397.213997000013478,3944584.285970000084490
30,5,3,451698.230763000028674,3944622.212449999991804
31,6,4,456428.841696000017691,3944912.815890000201762
32,6,4,456451.903373999986798,3944915.728769999928772
33,6,4,456506.438548000005540,3944932.608010000083596
34,6,4,456554.623515999992378,3944945.736370000056922
35,6,4,456603.340679000015371,3944964.157409999985248
36,6,4,456644.986002999998163,3944986.647429999895394
37,7,5,456482.290433000016492,3944862.881440000142902
38,7,5,456511.521720000018831,3944884.423220000229776
39,7,5,456548.335969000007026,3944902.902269999962300