FID,id,ORIG_FID,x,y
0,2,0,466039.584520999982487,3957386.126310000196099
1,2,0,466051.263995999994222,3957319.264680000022054
2,2,0,466081.602669999992941,3957270.837470000144094
3,3,1,466303.822742999996990,3957667.184609999880195
4,3,1,466330.906449000001885,3957637.472860000096262
5,3,1,466346.728752999973949,3957630.594930000137538
6,4,2,451269.552441000007093,3944494.896579999942333
7,4,2,451429.036222999973688,3944477.589939999859780
8,4,2,451660.718047000002116,3944469.632999999914318
9,5,3,451183.071855999995023,3944556.849119999911636
10,5,3,451265.004566000017803,3944557.617529999930412
11,5,3,451397.213997000013478,3944584.285970000084490
12,5,3,451698.230763000028674,3944622.212449999991804
13,6,4,456428.841696000017691,3944912.815890000201762
14,6,4,456451.903373999986798,3944915.728769999928772
15,6,4,456478.273621000000276,3944923.890649999957532
16,6,4,456478.322313999990001,3944923.905730000231415
17,6,4,456482.387970999989193,3944925.164090000092983
18,6,4,456482.433018999989145,3944925.178030000068247
19,6,4,456506.438548000005540,3944932.608010000083596
20,6,4,456508.207653000019491,3944933.090020000003278
21,6,4,456508.297749000019394,3944933.114560000132769
22,6,4,456509.387623000016902,3944933.411510000005364
23,6,4,456509.445655999996234,3944933.427319999784231
24,6,4,456509.605607000004966,3944933.470900000073016
25,6,4,456509.653609999979381,3944933.483980000019073
26,6,4,456509.812664000026416,3944933.527309999801219
27,6,4,456509.890400999982376,3944933.548489999957383
28,6,4,456510.447270000004210,3944933.700219999998808
29,6,4,456510.520169000024907,3944933.720079999882728
30,6,4,456510.991098999977112,3944933.848389999940991
31,6,4,456511.029496999981347,3944933.858849999960512
32,6,4,456511.308468999981415,3944933.934859999921173
33,6,4,456511.352463999995962,3944933.946839999873191
34,6,4,456511.438214999972843,3944933.970209999941289
35,6,4,456511.481539000000339,3944933.982009999919683
36,6,4,456511.932945000007749,3944934.104999999981374
37,6,4,456511.997157000005245,3944934.122500000055879
38,6,4,456512.138300999999046,3944934.160949999932200
39,6,4,456512.199289000011049,3944934.177569999825209
40,6,4,456512.520263999991585,3944934.265019999817014
41,6,4,456512.584207999985665,3944934.282440000213683
42,6,4,456512.651360000018030,3944934.300739999860525
43,6,4,456512.736081000010017,3944934.323820000048727
44,6,4,456554.623515999992378,3944945.736370000056922
45,6,4,456577.425491000001784,3944954.358299999963492
46,6,4,456577.508320000022650,3944954.389620000030845
47,6,4,456578.824575999984518,3944954.887320000212640
48,6,4,456578.866427999979351,3944954.903150000143796
49,6,4,456579.530175999971107,3944955.154130000155419
50,6,4,456579.568993999972008,3944955.168810000177473
51,6,4,456579.847787000006065,3944955.274220000021160
52,6,4,456579.881098999991082,3944955.286820000037551
53,6,4,456582.618698999984190,3944956.321969999931753
54,6,4,456582.658674000005703,3944956.337079999968410
55,6,4,456584.243236000009347,3944956.936240000184625
56,6,4,456584.286977000010666,3944956.952779999934137
57,6,4,456589.323926999990363,3944958.857359999790788
58,6,4,456589.397355999972206,3944958.885129999835044
59,6,4,456597.103041999973357,3944961.798820000141859
60,6,4,456597.157217000029050,3944961.819300000090152
61,6,4,456602.049823999986984,3944963.669309999793768
62,6,4,456602.090138000028674,3944963.684549999888986
63,6,4,456603.340679000015371,3944964.157409999985248
64,6,4,456620.573504999978468,3944973.463769999798387
65,6,4,456620.619032000016887,3944973.488359999842942
66,6,4,456621.302758999983780,3944973.857600000221282
67,6,4,456621.339015999983530,3944973.877179999835789
68,6,4,456644.986002999998163,3944986.647429999895394
69,7,5,456482.290433000016492,3944862.881440000142902
70,7,5,456492.168661999981850,3944870.161129999905825
71,7,5,456492.212831999990158,3944870.193680000025779
72,7,5,456492.360313999990467,3944870.302360000088811
73,7,5,456492.396622999978717,3944870.329119999893010
74,7,5,456505.366128000023309,3944879.886899999808520
75,7,5,456505.416474000026938,3944879.924010000191629
76,7,5,456508.673807999992277,3944882.324469999875873
77,7,5,456508.711802000005264,3944882.352469999808818
78,7,5,456511.521720000018831,3944884.423220000229776
79,7,5,456540.397124000010081,3944898.917340000160038
80,7,5,456540.527804000012111,3944898.982929999940097
81,7,5,456542.376208000001498,3944899.910740000195801
82,7,5,456542.548145000007935,3944899.997049999888986
83,7,5,456548.335969000007026,3944902.902269999962300