FID,id,ORIG_FID,X_Easting,Y_Northing
0,2,0,466039.584520999982487,3957386.126310000196099
1,2,0,466051.263995999994222,3957319.264680000022054
2,2,0,466081.602669999992941,3957270.837470000144094
3,3,1,466303.822742999996990,3957667.184609999880195
4,3,1,466330.906449000001885,3957637.472860000096262
5,3,1,466346.728752999973949,3957630.594930000137538
6,4,2,451269.552441000007093,3944494.896579999942333
7,4,2,451429.036222999973688,3944477.589939999859780
8,4,2,451660.718047000002116,3944469.632999999914318
9,5,3,451183.071855999995023,3944556.849119999911636
10,5,3,451265.004566000017803,3944557.617529999930412
11,5,3,451397.213997000013478,3944584.285970000084490
12,5,3,451698.230763000028674,3944622.212449999991804
13,6,4,456428.841696000017691,3944912.815890000201762
14,6,4,456451.903373999986798,3944915.728769999928772
15,6,4,456478.285720999992918,3944923.894400000106543
16,6,4,456478.337828000017907,3944923.910529999993742
17,6,4,456482.386475000006612,3944925.163629999849945
18,6,4,456482.424659000011161,3944925.175449999980628
19,6,4,456506.438548000005540,3944932.608010000083596
20,6,4,456508.218889000010677,3944933.093080000020564
21,6,4,456508.299379999982193,3944933.115009999834001
22,6,4,456508.566960000025574,3944933.187909999862313
23,6,4,456508.588644000003114,3944933.193820000160486
24,6,4,456509.394247999996878,3944933.413310000207275
25,6,4,456509.442386000009719,3944933.426429999992251
26,6,4,456509.617224999994505,3944933.474059999920428
27,6,4,456509.646464999997988,3944933.482030000071973
28,6,4,456509.818101999990176,3944933.528799999970943
29,6,4,456509.866910999990068,3944933.542090000119060
30,6,4,456510.449414999980945,3944933.700800000224262
31,6,4,456510.502924999978859,3944933.715379999950528
32,6,4,456510.992945000005420,3944933.848890000022948
33,6,4,456511.026932000007946,3944933.858150000218302
34,6,4,456511.303194999985863,3944933.933420000132173
35,6,4,456511.333487999974750,3944933.941670000087470
36,6,4,456511.450158999999985,3944933.973460000008345
37,6,4,456511.466118999989703,3944933.977810000069439
38,6,4,456511.936993999988772,3944934.106099999975413
39,6,4,456511.971697999979369,3944934.115559999831021
40,6,4,456512.151394999993499,3944934.164520000107586
41,6,4,456512.178798999986611,3944934.171980000101030
42,6,4,456512.528264999971725,3944934.267200000118464
43,6,4,456512.574219000001904,3944934.279719999991357
44,6,4,456512.671568999998271,3944934.306239999830723
45,6,4,456512.694854000001214,3944934.312590000219643
46,6,4,456554.623515999992378,3944945.736370000056922
47,6,4,456578.831054000009317,3944954.889769999776036
48,6,4,456578.859737000020687,3944954.900619999971241
49,6,4,456579.534057000011671,3944955.155600000172853
50,6,4,456579.557234000007156,3944955.164359999820590
51,6,4,456579.734201000013854,3944955.231269999872893
52,6,4,456579.749490000016522,3944955.237060000188649
53,6,4,456579.852542000007816,3944955.276020000223070
54,6,4,456579.872091999975964,3944955.283410000149161
55,6,4,456582.620799000025727,3944956.322759999893606
56,6,4,456582.648600000014994,3944956.333269999828190
57,6,4,456584.244176000007428,3944956.936600000131875
58,6,4,456584.285540000011679,3944956.952240000013262
59,6,4,456589.333389999985229,3944958.860940000042319
60,6,4,456589.390743000025395,3944958.882629999890924
61,6,4,456589.772491000010632,3944959.026970000006258
62,6,4,456589.786742000025697,3944959.032360000070184
63,6,4,456592.035689999989700,3944959.882739999797195
64,6,4,456592.055320999992546,3944959.890159999951720
65,6,4,456597.112528000026941,3944961.802410000003874
66,6,4,456597.131295000028331,3944961.809499999973923
67,6,4,456602.056905000004917,3944963.671980000101030
68,6,4,456602.079501000000164,3944963.680530000012368
69,6,4,456603.340679000015371,3944964.157409999985248
70,6,4,456620.585085999977309,3944973.470029999967664
71,6,4,456620.605992000026163,3944973.481319999787956
72,6,4,456621.307473999971990,3944973.860140000004321
73,6,4,456621.332514000008814,3944973.873670000117272
74,6,4,456644.986002999998163,3944986.647429999895394
75,7,5,456482.290433000016492,3944862.881440000142902
76,7,5,456487.237361999985296,3944866.527040000073612
77,7,5,456487.259902000019792,3944866.543649999890476
78,7,5,456492.172577999997884,3944870.164009999949485
79,7,5,456492.204526000015903,3944870.187559999991208
80,7,5,456492.361964999989141,3944870.303580000065267
81,7,5,456492.401711000013165,3944870.332870000042021
82,7,5,456505.357230000023264,3944879.880350000225008
83,7,5,456505.393943000002764,3944879.907399999909103
84,7,5,456508.676573999982793,3944882.326510000042617
85,7,5,456508.714405999984592,3944882.354389999993145
86,7,5,456511.521720000018831,3944884.423220000229776
87,7,5,456540.390766999975313,3944898.914140000008047
88,7,5,456540.507100999995600,3944898.972539999987930
89,7,5,456540.618139000027440,3944899.028270000126213
90,7,5,456540.660440000006929,3944899.049509999807924
91,7,5,456542.376774000003934,3944899.911030000075698
92,7,5,456542.679645000025630,3944900.063049999997020
93,7,5,456548.335969000007026,3944902.902269999962300